Channel              :		CH1
Frequency            :		  ?
Period               :		  ?
PK-PK                :		58.39mV
Average              :		-0.192mV
Vertical pos         :		1.000000mV
Probe attenuation    :		1X
Voltage per ADC value:		0.003125mV
Time interval        :		4.00000uS

index		CH1_Voltage(mV)
840		-3.075000
841		-3.437500
842		-3.962500
843		-3.725000
844		-3.612500
845		-4.200000
846		-4.200000
847		-4.725000
848		-4.137500
849		-4.137500
850		-4.137500
851		-3.612500
852		-4.312500
853		-4.025000
854		-4.075000
855		-4.725000
856		-4.075000
857		-4.550000
858		-4.725000
859		-3.487500
860		-4.850000
861		-4.200000
862		-4.075000
863		-4.550000
864		-3.725000
865		-3.900000
866		-3.725000
867		-3.725000
868		-4.200000
869		-3.612500
870		-3.787500
871		-3.375000
872		-3.487500
873		-3.900000
874		-3.850000
875		-4.487500
876		-4.137500
877		-4.312500
878		-4.612500
879		-4.025000
880		-4.962500
881		-5.025000
882		-4.900000
883		-5.725000
884		-5.487500
885		-5.250000
886		-6.137500
887		-6.075000
888		-6.375000
889		-6.787500
890		-7.250000
891		-7.137500
892		-7.550000
893		-7.425000
894		-7.962500
895		-7.725000
896		-7.837500
897		-8.612500
898		-8.724999
899		-7.962500
900		-8.837500
901		-8.837500
902		-8.425000
903		-8.837500
904		-8.550000
905		-8.837500
906		-9.075000
907		-7.900000
908		-8.900000
909		-8.612500
910		-8.375000
911		-8.724999
912		-8.312500
913		-8.200000
914		-8.075000
915		-7.025000
916		-8.137500
917		-7.725000
918		-7.962500
919		-8.662499
920		-7.137500
921		-7.375000
922		-7.250000
923		-6.962500
924		-7.375000
925		-7.375000
926		-7.075000
927		-8.200000
928		-7.550000
929		-7.375000
930		-7.075000
931		-7.312500
932		-8.250000
933		-7.725000
934		-8.312500
935		-8.837500
936		-8.724999
937		-9.137500
938		-9.200000
939		-9.075000
940		-9.787499
941		-9.787499
942		-10.200000
943		-10.137500
944		-10.375000
945		-10.550000
946		-10.599999
947		-10.487500
948		-10.312500
949		-10.900000
950		-10.962500
951		-10.375000
952		-10.962500
953		-10.787499
954		-10.425000
955		-10.200000
956		-10.312500
957		-10.662499
958		-10.550000
959		-10.487500
960		-10.599999
961		-9.724999
962		-9.962500
963		-9.012500
964		-9.137500
965		-9.312500
966		-9.250000
967		-8.550000
968		-9.250000
969		-8.837500
970		-8.900000
971		-8.612500
972		-8.837500
973		-8.837500
974		-8.312500
975		-8.250000
976		-8.662499
977		-8.250000
978		-8.662499
979		-8.900000
980		-8.200000
981		-9.012500
982		-8.425000
983		-8.612500
984		-8.612500
985		-8.375000
986		-9.425000
987		-10.012500
988		-9.312500
989		-9.487500
990		-9.137500
991		-9.012500
992		-9.724999
993		-9.137500
994		-9.137500
995		-9.425000
996		-9.137500
997		-9.550000
998		-9.724999
999		-9.550000
1000		-9.550000
1001		-9.137500
1002		-9.375000
1003		-9.250000
1004		-8.487500
1005		-9.425000
1006		-8.787499
1007		-9.012500
1008		-9.599999
1009		-9.200000
1010		-9.075000
1011		-8.724999
1012		-8.550000
1013		-8.900000
1014		-8.662499
1015		-8.487500
1016		-9.075000
1017		-8.612500
1018		-8.375000
1019		-8.962500
1020		-8.425000
1021		-8.787499
1022		-8.900000
1023		-8.425000
1024		-8.962500
1025		-8.900000
1026		-9.012500
1027		-9.487500
1028		-8.837500
1029		-9.425000
1030		-9.012500
1031		-9.200000
1032		-9.599999
1033		-9.250000
1034		-9.900000
1035		-9.662499
1036		-10.075000
1037		-10.312500
1038		-9.900000
1039		-10.312500
1040		-9.787499
1041		-10.200000
1042		-10.250000
1043		-9.724999
1044		-10.724999
1045		-10.075000
1046		-10.375000
1047		-10.487500
1048		-10.599999
1049		-10.962500
1050		-10.200000
1051		-10.900000
1052		-10.250000
1053		-10.312500
1054		-10.487500
1055		-9.599999
1056		-10.787499
1057		-10.375000
1058		-10.425000
1059		-10.724999
1060		-10.724999
1061		-10.662499
1062		-10.200000
1063		-10.012500
1064		-10.375000
1065		-10.075000
1066		-10.662499
1067		-10.250000
1068		-10.599999
1069		-10.900000
1070		-10.787499
1071		-11.187500
1072		-10.662499
1073		-10.724999
1074		-10.900000
1075		-10.312500
1076		-10.787499
1077		-10.487500
1078		-11.012500
1079		-10.487500
1080		-10.900000
1081		-10.900000
1082		-10.487500
1083		-10.787499
1084		-9.599999
1085		-10.900000
1086		-10.012500
1087		-10.075000
1088		-9.962500
1089		-10.312500
1090		-10.662499
1091		-9.787499
1092		-10.312500
1093		-9.724999
1094		-9.724999
1095		-9.900000
1096		-9.137500
1097		-9.012500
1098		-9.375000
1099		-9.012500
1100		-8.900000
1101		-8.550000
1102		-8.550000
1103		-9.012500
1104		-8.075000
1105		-8.487500
1106		-8.312500
1107		-7.725000
1108		-8.487500
1109		-8.312500
1110		-8.425000
1111		-8.312500
1112		-7.662500
1113		-8.250000
1114		-7.550000
1115		-8.137500
1116		-8.425000
1117		-7.550000
1118		-8.550000
1119		-8.137500
1120		-7.837500
1121		-8.312500
1122		-7.962500
1123		-8.312500
1124		-8.425000
1125		-7.962500
1126		-8.550000
1127		-8.550000
1128		-8.612500
